machine,start_time,duration,ending_time,task,status
jaguar,22/12/2025 21:30,25h,23/12/2025 22:30,config_cot6_soap_sft.json,Finished
mazda,22/12/2025 21:35,52h,25/12/2025 01:35,config_cot6_soap_sft_overspl.json,Finished
nissan,22/12/2025 21:50,52h,25/12/2025 01:50,config_cot6_soap_dft_overspl.json,Finished
rover,22/12/2025 22:00,52h,25/12/2025 02:00,config_cot6_soap_dwl_dft_overspl.json,Finished
porsche,22/12/2025 22:10,116h,27/12/2025 02:10,config_cot6_soap_dwl_sft_overspl.json,Finished
sjtu, 23/12/2025 11:00,23h,24/12/2025 10:00,config_cot6_soap_dwl_sft_overspl.json,Finished
royce,22/12/2025 22:20,52h,24/12/2025 02:20,config_cot6_soap_dwl_dft_overspl_v2.json,Finished
sjtu,24/12/2025 14:00,23h,25/12/2025 13:00,config_cot6_soap_dwl_dft_overspl_optimizedscheduling.json,Finished

jaguar,24/12/2025 18:00,53h,26/12/2025 23:00,config_cot6_soap_dwl_sft_overspl_optimizedscheduling.json,Finished
mazda,25/12/2025 15:00,11:18,26/12/2025 02:18,config_cot6_soap_sft_overspl_dpo.json,Finished
sjtu,25/12/2025 15:30,23h,26/12/2025 14:30,config_cot6_soap_dwl_sft_overspl_optimizedscheduling.json,Finished
rover,25/12/2025 15:30,62h,28/12/2025 00:00,config_cot6_soap_dwl_sft_overspl_softscheduling.json,Finished
royce,25/12/2025 16:00,62h,28/12/2025 02:00,config_cot6_soap_dwl_sft_overspl_constrastedscheduling.json,Finished
sjtu,26/12/2025 18:00,23h,27/12/2025 17:00,config_cot6_soap_dwl_sft_overspl_veryconstrastedscheduling.json,Finished

mazda,27/12/2025 15h, 12h, 28/12/2025 03h, config_cot6_soap_sft_overspl_dpotrain.json,Finished
mazda,27/12/2025 22h, 2h, 28/12/2025 00h, config_cot6_soap_sft_overspl_dpotrain_stable.json,Finished
mazda,28/12/2025 21h, 9h, 29/12/2025 06h, config_cot6_soap_sft_overspl_thendwl.json,Not finished